amfi_code,scheme_name,sector_hhi,concentration_level,num_sectors_held
119092,Axis Bluechip Fund - Regular - Growth,2967.6908999999996,High Concentration,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,2549.9193999999998,High Concentration,7
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,2531.5500000000006,High Concentration,6
102887,UTI Flexi Cap Fund - Regular - Growth,2513.8255,High Concentration,6
149323,DSP Midcap Fund - Regular - Growth,2410.7663999999995,Moderate Concentration,7
120505,ICICI Pru Midcap Fund - Regular - Growth,2386.9504,Moderate Concentration,7
118635,Nippon India ETF Nifty 50 BeES,2374.9677,Moderate Concentration,6
119599,SBI Small Cap Fund - Direct Plan - Growth,2323.612,Moderate Concentration,7
120506,ICICI Pru Value Discovery Fund - Regular - Growth,2314.6433999999995,Moderate Concentration,7
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,2276.4744,Moderate Concentration,7
119552,SBI Bluechip Fund - Direct Plan - Growth,2275.0834999999997,Moderate Concentration,7
101207,ABSL Small Cap Fund - Regular - Growth,2227.2651,Moderate Concentration,6
120504,ICICI Pru Bluechip Fund - Direct - Growth,2212.1303,Moderate Concentration,8
118633,Nippon India Large Cap Fund - Direct - Growth,2212.0031999999997,Moderate Concentration,7
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,2180.8585,Moderate Concentration,6
120841,Kotak Bluechip Fund - Regular - Growth,2158.9314999999997,Moderate Concentration,7
118632,Nippon India Large Cap Fund - Regular - Growth,2072.5894000000003,Moderate Concentration,6
148567,Mirae Asset Large Cap Fund - Regular - Growth,2012.4815,Moderate Concentration,6
149324,DSP Small Cap Fund - Regular - Growth,1887.0081999999998,Moderate Concentration,9
119598,SBI Small Cap Fund - Regular Plan - Growth,1880.8485000000003,Moderate Concentration,7
119093,Axis Bluechip Fund - Direct - Growth,1842.3320000000003,Moderate Concentration,8
149322,DSP Top 100 Equity Fund - Regular - Growth,1826.9533,Moderate Concentration,7
120503,ICICI Pru Bluechip Fund - Regular - Growth,1821.6750000000002,Moderate Concentration,7
102885,UTI Nifty 50 Index Fund - Regular - Growth,1807.1201999999998,Moderate Concentration,8
100016,HDFC Top 100 Fund - Regular Plan - Growth,1805.8807999999997,Moderate Concentration,8
101206,ABSL Frontline Equity Fund - Regular - Growth,1800.4224999999997,Moderate Concentration,7
119094,Axis Midcap Fund - Regular - Growth,1751.0024999999998,Moderate Concentration,6
125497,HDFC Top 100 Fund - Direct Plan - Growth,1724.1088,Moderate Concentration,7
120842,Kotak Emerging Equity Fund - Regular - Growth,1620.6189,Moderate Concentration,8
118634,Nippon India Small Cap Fund - Regular - Growth,1602.9924,Moderate Concentration,8
119095,Axis Small Cap Fund - Regular - Growth,1595.8229000000001,Moderate Concentration,8
119551,SBI Bluechip Fund - Regular Plan - Growth,1424.9103999999998,Low Concentration,8
120843,Kotak Flexicap Fund - Regular - Growth,1362.0616,Low Concentration,9
102886,UTI Mid Cap Fund - Regular - Growth,1240.2024000000001,Low Concentration,10
