amfi_code,date,nav
120503,2026-08-17,112.26290
120503,2026-08-14,112.48540
120503,2026-08-13,112.69370
120503,2026-08-12,112.84830
120503,2026-08-11,112.92740
120503,2026-08-10,113.07220
120503,2026-08-07,112.79410
120503,2026-08-06,113.18340
120503,2026-08-05,113.17600
120503,2026-08-04,112.91600
120503,2026-08-03,113.38010
120503,2026-07-31,111.56850
120503,2026-07-30,110.67620
120503,2026-07-29,110.38760
120503,2026-07-28,109.33760
120503,2026-07-27,109.36780
120503,2026-07-24,108.04840
120503,2026-07-23,108.58630
120503,2026-07-22,109.22790
120503,2026-07-21,110.18590
120503,2026-07-20,109.88950
120503,2026-07-17,109.85820
120503,2026-07-16,109.28670
120503,2026-07-15,109.67750
120503,2026-07-14,109.01880
120503,2026-07-13,109.60500
120503,2026-07-10,109.79690
120503,2026-07-09,108.73620
120503,2026-07-08,107.95980
120503,2026-07-07,110.09970
120503,2026-07-06,110.25320
120503,2026-07-03,109.36720
120503,2026-07-02,109.48830
120503,2026-07-01,108.68950
120503,2026-06-30,108.00880
120503,2026-06-29,107.78040
120503,2026-06-25,108.37580
120503,2026-06-24,108.29440
120503,2026-06-23,107.54210
120503,2026-06-22,108.46810
120503,2026-06-19,107.96360
120503,2026-06-18,108.00810
120503,2026-06-17,107.53480
120503,2026-06-16,107.01400
120503,2026-06-15,106.59770
120503,2026-06-12,105.21240
120503,2026-06-11,102.88080
120503,2026-06-10,103.18730
120503,2026-06-09,103.52590
120503,2026-06-08,102.48450
120503,2026-06-05,103.81020
120503,2026-06-04,103.64210
120503,2026-06-03,103.48090
120503,2026-06-02,103.59590
120503,2026-06-01,103.09480
120503,2026-05-31,104.30830
120503,2026-05-29,104.31290
120503,2026-05-27,105.92960
120503,2026-05-26,105.51150
120503,2026-05-25,105.92170
120503,2026-05-22,104.77080
120503,2026-05-21,104.49150
120503,2026-05-20,104.60460
120503,2026-05-19,104.27670
120503,2026-05-18,104.15560
120503,2026-05-15,104.29180
120503,2026-05-14,104.55310
120503,2026-05-13,103.39600
120503,2026-05-12,103.33840
120503,2026-05-11,105.60660
120503,2026-05-08,107.15000
120503,2026-05-07,107.67290
120503,2026-05-06,107.33540
120503,2026-05-05,105.83870
120503,2026-05-04,105.74490
120503,2026-04-30,105.28450
120503,2026-04-29,106.06980
120503,2026-04-28,105.62120
120503,2026-04-27,106.05280
120503,2026-04-24,105.09280
120503,2026-04-23,106.13010
120503,2026-04-22,106.82990
120503,2026-04-21,107.24340
120503,2026-04-20,106.20630
120503,2026-04-17,105.98260
120503,2026-04-16,105.11700
120503,2026-04-15,104.92590
120503,2026-04-13,103.23030
120503,2026-04-10,104.13480
120503,2026-04-09,102.54940
120503,2026-04-08,103.28330
120503,2026-04-07,99.38760
120503,2026-04-06,98.80140
120503,2026-04-02,97.52000
120503,2026-04-01,97.71840
120503,2026-03-31,96.27530
120503,2026-03-30,96.27680
120503,2026-03-27,98.67390
120503,2026-03-25,100.73190
120503,2026-03-24,98.65970
120503,2026-03-23,96.71300
120503,2026-03-20,99.61420
120503,2026-03-19,99.15970
120503,2026-03-18,102.45920
120503,2026-03-17,101.24960
120503,2026-03-16,100.39600
120503,2026-03-13,99.71110
120503,2026-03-12,101.97180
120503,2026-03-11,102.97760
120503,2026-03-10,104.75930
120503,2026-03-09,103.38820
120503,2026-03-06,105.40500
120503,2026-03-05,106.72970
120503,2026-03-04,105.49280
120503,2026-03-02,107.52310
120503,2026-02-28,108.93250
120503,2026-02-27,108.93450
120503,2026-02-26,110.29450
120503,2026-02-25,109.92930
120503,2026-02-24,109.36810
120503,2026-02-23,110.29100
120503,2026-02-20,109.52730
120503,2026-02-19,109.00910
120503,2026-02-18,110.63030
120503,2026-02-17,110.08060
120503,2026-02-16,109.84440
120503,2026-02-13,109.34090
120503,2026-02-12,110.53650
120503,2026-02-11,110.83920
120503,2026-02-10,110.65190
120503,2026-02-09,110.38450
120503,2026-02-06,109.17560
120503,2026-02-05,109.01370
120503,2026-02-04,109.28800
120503,2026-02-03,109.09550
120503,2026-02-02,106.15960
120503,2026-01-31,107.18970
120503,2026-01-30,107.19180
120503,2026-01-29,107.17590
120503,2026-01-28,107.02960
120503,2026-01-27,105.94500
120503,2026-01-23,105.71710
120503,2026-01-22,106.87140
120503,2026-01-21,106.07310
120503,2026-01-20,106.50560
120503,2026-01-19,108.36170
120503,2026-01-16,108.64460
120503,2026-01-14,108.50480
120503,2026-01-13,108.84250
120503,2026-01-12,108.89310
120503,2026-01-09,108.84980
120503,2026-01-08,110.05730
120503,2026-01-07,111.31060
120503,2026-01-06,111.24920
120503,2026-01-05,111.18020
120503,2026-01-02,111.53570
120503,2026-01-01,110.55160
120503,2025-12-31,110.24190
120503,2025-12-30,109.55060
120503,2025-12-29,109.82110
120503,2025-12-26,110.26660
120503,2025-12-24,110.64850
120503,2025-12-23,110.85200
120503,2025-12-22,110.78620
120503,2025-12-19,110.15340
120503,2025-12-18,109.25320
120503,2025-12-17,109.30910
120503,2025-12-16,109.73920
120503,2025-12-15,110.35820
120503,2025-12-12,110.51900
120503,2025-12-11,109.77620
120503,2025-12-10,109.08860
120503,2025-12-09,109.70350
120503,2025-12-08,109.61410
120503,2025-12-05,111.14870
120503,2025-12-04,110.84860
120503,2025-12-03,110.78130
