Date,Scheme_Code,Scheme_Name,NAV,Fund_House,Scheme_Category
2012-12-31,119092,HDFC Money Market Fund - Growth Option - Direct Plan,23.992,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-01,119092,HDFC Money Market Fund - Growth Option - Direct Plan,23.9979,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-02,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.6967,Nippon India Mutual Fund,Equity Scheme - Large Cap Fund
2013-01-02,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0036,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-02,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.0059,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-02,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,15.0253,Axis Mutual Fund,Equity Scheme - ELSS
2013-01-03,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.7305,Nippon India Mutual Fund,Equity Scheme - Large Cap Fund
2013-01-03,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0092,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-03,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.0306,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-03,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,15.0737,Axis Mutual Fund,Equity Scheme - ELSS
2013-01-04,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.8037,Nippon India Mutual Fund,Equity Scheme - Large Cap Fund
2013-01-04,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0147,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-04,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.0619,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-04,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,15.0702,Axis Mutual Fund,Equity Scheme - ELSS
2013-01-06,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0258,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-07,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14.7718,Nippon India Mutual Fund,Equity Scheme - Large Cap Fund
2013-01-07,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0314,HDFC Mutual Fund,Debt Scheme - Money Market Fund
