Date,Scheme_Code,Scheme_Name,NAV,Fund_House,Scheme_Category
2013-01-03,119775,Kotak Midcap Fund - Direct Plan - Growth,14.052,Kotak Mahindra Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-04,119775,Kotak Midcap Fund - Direct Plan - Growth,14.177,Kotak Mahindra Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-07,119775,Kotak Midcap Fund - Direct Plan - Growth,14.199,Kotak Mahindra Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-08,119775,Kotak Midcap Fund - Direct Plan - Growth,14.223,Kotak Mahindra Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-09,119775,Kotak Midcap Fund - Direct Plan - Growth,14.209,Kotak Mahindra Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-10,119775,Kotak Midcap Fund - Direct Plan - Growth,14.122,Kotak Mahindra Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-11,119775,Kotak Midcap Fund - Direct Plan - Growth,13.978,Kotak Mahindra Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-14,119775,Kotak Midcap Fund - Direct Plan - Growth,14.07,Kotak Mahindra Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-15,119775,Kotak Midcap Fund - Direct Plan - Growth,14.086,Kotak Mahindra Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-16,119775,Kotak Midcap Fund - Direct Plan - Growth,13.972,Kotak Mahindra Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-17,119775,Kotak Midcap Fund - Direct Plan - Growth,13.952,Kotak Mahindra Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-18,119775,Kotak Midcap Fund - Direct Plan - Growth,13.892,Kotak Mahindra Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-21,119775,Kotak Midcap Fund - Direct Plan - Growth,13.86,Kotak Mahindra Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-22,119775,Kotak Midcap Fund - Direct Plan - Growth,13.805,Kotak Mahindra Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-23,119775,Kotak Midcap Fund - Direct Plan - Growth,13.715,Kotak Mahindra Mutual Fund,Equity Scheme - Mid Cap Fund
