Scheme_Code,Scheme_Name,Fund_House,Category,Sub_Category,Risk_Grade
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Equity Scheme,Large Cap Fund,High
118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Other Scheme,FoF Domestic,High
118989,HDFC Mid Cap Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Equity Scheme,Mid Cap Fund,Very High
119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Debt Scheme,Money Market Fund,Moderate
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Banking and PSU Fund,Moderate
119775,Kotak Midcap Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Equity Scheme,Mid Cap Fund,Very High
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,Equity Scheme,ELSS,High
120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme,Mid Cap Fund,Very High
122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,PPFAS Mutual Fund,Equity Scheme,Flexi Cap Fund,High
125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity Scheme,Small Cap Fund,Very High
128913,PRINCIPAL PNB FIXED MATURITY PLAN-SERIES B15-REGULAR PLAN-GROWTH,PRINCIPAL Mutual Fund,Income,General,Moderate
