Date,NAV,Scheme_Code
2013-01-02,14.6967,118632
2013-01-03,14.7305,118632
2013-01-04,14.8037,118632
2013-01-07,14.7718,118632
2013-01-08,14.7197,118632
2013-01-09,14.7249,118632
2013-01-10,14.6784,118632
2013-01-11,14.6421,118632
2013-01-14,14.7844,118632
2013-01-15,14.8315,118632
2013-01-16,14.6876,118632
2013-01-17,14.7703,118632
2013-01-18,14.8654,118632
2013-01-21,14.9285,118632
2013-01-22,14.8574,118632
2013-01-23,14.7986,118632
2013-01-24,14.6226,118632
2013-01-25,14.7605,118632
2013-01-28,14.7737,118632
2013-01-29,14.681,118632
2013-01-30,14.6583,118632
2013-01-31,14.6179,118632
2013-02-01,14.5671,118632
2013-02-04,14.5479,118632
2013-02-05,14.4313,118632
2013-02-06,14.4775,118632
2013-02-07,14.4048,118632
2013-02-08,14.3212,118632
2013-02-11,14.2908,118632
2013-02-12,14.3298,118632
2013-02-13,14.3617,118632
2013-02-14,14.1541,118632
2013-02-15,14.1364,118632
2013-02-18,14.1843,118632
2013-02-19,14.2926,118632
2013-02-20,14.2782,118632
2013-02-21,14.0679,118632
2013-02-22,14.0985,118632
2013-02-25,14.0828,118632
2013-02-26,13.8873,118632
2013-02-27,13.9873,118632
2013-02-28,13.7174,118632
2013-03-01,13.8247,118632
2013-03-04,13.7577,118632
2013-03-05,13.9807,118632
2013-03-06,14.0779,118632
2013-03-07,14.1368,118632
2013-03-08,14.2733,118632
2013-03-11,14.2265,118632
2013-03-12,14.1646,118632
2013-03-13,13.9586,118632
2013-03-14,14.1321,118632
2013-03-15,14.0574,118632
2013-03-18,13.9688,118632
2013-03-19,13.7101,118632
2013-03-20,13.4866,118632
2013-03-21,13.4908,118632
2013-03-22,13.4563,118632
2013-03-25,13.4002,118632
2013-03-26,13.4772,118632
2013-03-28,13.578,118632
2013-04-01,13.6324,118632
2013-04-02,13.8124,118632
2013-04-03,13.6549,118632
2013-04-04,13.4167,118632
2013-04-05,13.4782,118632
2013-04-08,13.4526,118632
2013-04-09,13.3266,118632
2013-04-10,13.4579,118632
2013-04-11,13.5316,118632
2013-04-12,13.3635,118632
2013-04-15,13.4536,118632
2013-04-16,13.7055,118632
2013-04-17,13.7107,118632
2013-04-18,13.9167,118632
2013-04-22,14.0431,118632
2013-04-23,13.9829,118632
2013-04-25,14.0593,118632
2013-04-26,14.0531,118632
2013-04-29,14.1084,118632
2013-04-30,14.1086,118632
2013-05-02,14.229,118632
2013-05-03,14.1115,118632
2013-05-06,14.2356,118632
2013-05-07,14.3852,118632
2013-05-08,14.3518,118632
2013-05-09,14.2864,118632
2013-05-10,14.3731,118632
2013-05-13,14.1432,118632
2013-05-14,14.2231,118632
2013-05-15,14.5276,118632
2013-05-16,14.5877,118632
2013-05-17,14.6518,118632
2013-05-20,14.5075,118632
2013-05-21,14.395,118632
2013-05-22,14.2804,118632
2013-05-23,13.9275,118632
2013-05-24,13.9741,118632
2013-05-27,14.1468,118632
2013-05-28,14.2241,118632
2013-05-29,14.1521,118632
2013-05-30,14.1108,118632
2013-05-31,13.9164,118632
2013-06-03,13.8393,118632
2013-06-04,13.8528,118632
2013-06-05,13.8796,118632
2013-06-06,13.8693,118632
2013-06-07,13.7436,118632
2013-06-10,13.6318,118632
2013-06-11,13.3795,118632
2013-06-12,13.3408,118632
2013-06-13,13.199,118632
2013-06-14,13.4526,118632
2013-06-17,13.5024,118632
2013-06-18,13.4342,118632
2013-06-19,13.4689,118632
2013-06-20,13.142,118632
2013-06-21,13.1933,118632
2013-06-24,12.9791,118632
2013-06-25,12.9839,118632
2013-06-26,12.9478,118632
2013-06-27,13.1137,118632
2013-06-28,13.445,118632
2013-07-01,13.6086,118632
2013-07-02,13.5237,118632
2013-07-03,13.2808,118632
2013-07-04,13.3744,118632
2013-07-05,13.4009,118632
2013-07-08,13.2314,118632
2013-07-09,13.3168,118632
2013-07-10,13.259,118632
2013-07-11,13.4425,118632
2013-07-12,13.6028,118632
2013-07-15,13.6813,118632
2013-07-16,13.4826,118632
2013-07-17,13.4057,118632
2013-07-18,13.5266,118632
2013-07-19,13.491,118632
2013-07-22,13.4323,118632
2013-07-23,13.5137,118632
2013-07-24,13.2616,118632
2013-07-25,13.1914,118632
2013-07-26,13.0735,118632
2013-07-29,13.0033,118632
2013-07-30,12.7471,118632
2013-07-31,12.9014,118632
2013-08-01,12.766,118632
2013-08-02,12.6617,118632
2013-08-05,12.7128,118632
2013-08-06,12.3588,118632
2013-08-07,12.4816,118632
2013-08-08,12.7214,118632
2013-08-12,12.8515,118632
2013-08-13,13.0239,118632
2013-08-14,13.0848,118632
2013-08-16,12.6349,118632
2013-08-19,12.4366,118632
2013-08-20,12.4137,118632
2013-08-21,12.2191,118632
2013-08-22,12.424,118632
2013-08-23,12.5759,118632
2013-08-26,12.6806,118632
2013-08-27,12.2979,118632
2013-08-28,12.2443,118632
2013-08-29,12.4848,118632
2013-08-30,12.6214,118632
2013-09-02,12.794,118632
2013-09-03,12.3669,118632
2013-09-04,12.564,118632
2013-09-05,12.8133,118632
2013-09-06,12.9802,118632
2013-09-10,13.3471,118632
2013-09-11,13.4542,118632
2013-09-12,13.3458,118632
2013-09-13,13.3653,118632
2013-09-16,13.2876,118632
2013-09-17,13.3498,118632
2013-09-18,13.4428,118632
2013-09-19,13.819,118632
2013-09-20,13.6366,118632
2013-09-23,13.408,118632
2013-09-24,13.3638,118632
2013-09-25,13.355,118632
2013-09-26,13.3434,118632
2013-09-27,13.2945,118632
2013-09-30,13.1286,118632
2013-10-01,13.2715,118632
2013-10-03,13.5608,118632
2013-10-04,13.5546,118632
